site_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,site_attention_received
73,-0.43394148,-0.59515584,-0.982007,0.3261903,-2.4604902,0.043757044,0.77824944,-3.0278058,0.1
74,0.47346157,-0.73952204,-0.8793208,0.52411515,-0.4787135,-1.8023168,-0.58098537,-0.028794661,0.062499996
76,0.70502937,-0.60988873,-0.02278027,0.4403817,-1.3414015,-1.2460463,0.45529565,-0.41115656,0.030303024
77,-0.22761075,-0.4320411,1.977684,1.8134629,0.69237566,0.57970494,-0.816579,0.9357629,0.04545454
78,0.77070826,-0.64065874,0.009803735,0.46426308,-1.4074738,-1.3268237,0.49267504,-0.38795826,0.018181838
79,0.3857811,0.22362347,-0.71255714,-0.7090384,1.114188,-0.7743898,-0.5655785,1.137299,0.055555556
80,0.5226561,0.4683563,-0.97547364,-1.2924469,1.0599799,-0.73410606,-0.21237823,1.0760189,0.052631587
85,0.77060986,-0.6405986,0.009718791,0.46419293,-1.4073536,-1.3267041,0.4926211,-0.38798603,0.017543847
86,0.7769503,0.44142598,1.008961,-0.5005041,0.7825514,0.055685118,0.35988215,1.6167424,0.05263158
87,-0.24569498,-0.46690366,-1.4379162,-0.14842997,-2.3341248,-0.24706008,0.9247486,-2.8620505,0.09090909
88,0.52022576,-0.13792963,-0.6748925,-0.25065684,0.5201869,-1.2369082,-0.5385861,0.8326502,0.05
89,0.47749436,-0.15169847,-0.62446076,-0.18437104,0.52482027,-1.1823525,-0.5654036,0.8121424,0.062500015
90,-0.89676106,0.9980978,-0.0034833401,-1.3253218,-0.34767824,2.5665233,1.2441798,-1.7086139,0.017543858
91,-1.1143621,-0.4627556,0.7483145,1.5880847,-0.15252186,1.2159699,-0.7131491,-1.1702614,0.055555556
92,0.77060986,-0.6405986,0.009718791,0.46419293,-1.4073536,-1.3267041,0.4926211,-0.38798603,0.017543847
93,-1.1163913,-0.46139476,0.7465458,1.5862851,-0.14954503,1.2187932,-0.7146114,-1.170778,0.07142856
94,0.5001162,0.4763077,-0.9798918,-1.2949291,1.080913,-0.70621717,-0.22675732,1.0689151,0.11111111
95,0.4759577,0.24110176,1.6364512,0.23317029,0.7368387,0.47364914,0.15832877,1.4685823,0.029411769
96,-0.6630563,0.10046808,0.5373229,0.5008186,1.0802454,1.0166895,-0.79385084,0.28272092,0.020833341
