site_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,site_attention_received
211,-0.5282665,-0.019023573,-0.28778076,0.0040019825,-0.03824684,1.1581347,-0.42024922,-0.49369767,0.11111111
212,0.10708744,-0.25315008,0.07746656,0.18543732,0.17608064,-0.10083929,-0.36857343,-0.23237087,0.041666664
213,-0.4445629,-0.20756954,0.07774131,0.22760016,0.21712783,0.72310483,-0.6991675,-0.4270657,0.047619052
214,-0.24186018,0.03801764,0.6901461,0.4333431,0.18714759,0.58891195,-0.13876319,0.14737223,0.099999994
215,-0.62116253,0.32232806,-0.26898342,0.109936096,0.016400114,0.8896828,0.07311663,-0.6884292,0.066666655
216,-0.24378249,-0.12020229,0.49022645,0.24205056,0.41632056,0.4240375,-0.5297201,-0.10437587,0.11111111
218,-0.18111105,0.3225229,-0.08251478,-0.27081162,0.5057299,0.30905798,-0.0367413,-0.16017385,0.05263158
219,-0.09259266,-0.03544635,-0.23500736,0.027019106,0.06321641,0.20776,-0.09056193,-0.6702419,0.083333336
220,0.38269916,-0.0017014281,0.091125205,-0.15464619,0.070221744,0.06326478,0.036675006,0.22427316,0.06666667
221,0.25682437,-0.11679925,-0.05085741,0.014036931,-0.27675617,0.31266272,0.10618542,-0.22095712,0.083333336
222,0.33986965,0.12352666,0.41131592,-0.14591959,0.4822749,-0.24889839,0.059982076,0.28556183,0.052631587
223,0.55168086,-0.005787407,0.08261376,-0.28607818,0.32197058,-0.43657124,0.046481967,0.10254423,0.05263158
224,0.58083886,0.27342156,-0.06519152,-0.70907927,0.38989317,-0.05863899,0.30571944,0.2114415,0.12500001
225,0.30358937,0.09290224,0.41489482,-0.015412912,0.5019987,-0.45669287,0.061262324,-0.039013337,0.06666667
226,0.5716409,-0.190298,0.29373348,0.019744158,0.10125972,-0.32908142,-0.078273565,0.2800508,0.076923065
227,0.24225858,0.08675116,0.30016017,-0.14091387,0.47873652,-0.16561997,-0.054030057,0.14846483,0.07142858
228,0.42989078,0.1578555,0.24083795,-0.32953137,0.3575432,-0.082152426,0.14417903,0.32651764,0.066666655
229,0.3534586,0.09964536,0.081476465,-0.15870893,-0.0328483,0.14677463,0.31439668,-0.05652823,0.05882353
